product_id,product_category_english,product_category_portuguese,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_photos_qty,product_description_length,product_name_length,product_volume_cm3,product_size_tier,product_weight_tier,missing_photos_flag,missing_description_flag
1e9e8ef04dbcff4541ed26657ea517e5,perfumery,perfumaria,225.00,16.00,10.00,14.00,1,287,40,2240.00,Small,Medium,0,0
3aa071139cb16b67ca9e5dea641aaa2f,art,artes,1000.00,30.00,18.00,20.00,1,276,44,10800.00,Medium,Heavy,0,0
96bd76ec8810374ed1b65e291975717f,sports leisure,esporte lazer,154.00,18.00,9.00,15.00,1,250,46,2430.00,Small,Light,0,0
cef67bcfe19066a932b7673e239eb23d,baby,bebes,371.00,26.00,4.00,26.00,1,261,27,2704.00,Small,Medium,0,0
9dc1a7de274444849c219cff195d0b71,housewares,utilidades domesticas,625.00,20.00,17.00,13.00,4,402,37,4420.00,Small,Medium,0,0
41d3672d4792049fa1779bb35283ed13,musical instruments,instrumentos musicais,200.00,38.00,5.00,11.00,1,745,60,2090.00,Small,Medium,0,0
732bd381ad09e530fe0a5f457d81becb,cool stuff,cool stuff,18350.00,70.00,24.00,44.00,4,1272,56,73920.00,Extra Large,Very Heavy,0,0
2548af3e6e77a690cf3eb6368e9ab61e,furniture decor,moveis decoracao,900.00,40.00,8.00,40.00,2,184,56,12800.00,Medium,Medium,0,0
37cc742be07708b53a98702e77a21a02,home appliances,eletrodomesticos,400.00,27.00,13.00,17.00,1,163,57,5967.00,Medium,Medium,0,0
8c92109888e8cdf9d66dc7e463025574,toys,brinquedos,600.00,17.00,10.00,12.00,1,1156,36,2040.00,Small,Medium,0,0
14aa47b7fe5c25522b47b4b29c98dcb9,bed bath table,cama mesa banho,1100.00,16.00,10.00,16.00,1,630,54,2560.00,Small,Heavy,0,0
03b63c5fc16691530586ae020c345514,baby,bebes,7150.00,50.00,19.00,45.00,4,728,49,42750.00,Large,Very Heavy,0,0
cf55509ea8edaaac1d28fdb16e48fc22,musical instruments,instrumentos musicais,250.00,17.00,7.00,17.00,3,1827,43,2023.00,Small,Medium,0,0
7bb6f29c2be57716194f96496660c7c2,furniture decor,moveis decoracao,600.00,68.00,11.00,13.00,2,2083,51,9724.00,Medium,Medium,0,0
eb31436580a610f202c859463d8c7415,construction tools safety,construcao ferramentas seguranca,200.00,17.00,7.00,17.00,4,1602,59,2023.00,Small,Medium,0,0
3bb7f144022e6732727d8d838a7b13b3,sports leisure,esporte lazer,800.00,16.00,2.00,11.00,1,3021,22,352.00,Extra Small,Medium,0,0
6a2fb4dd53d2cdb88e0432f1284a004c,perfumery,perfumaria,400.00,27.00,5.00,20.00,2,346,39,2700.00,Small,Medium,0,0
a1b71017a84f92fd8da4aeefba108a24,computers accessories,informatica acessorios,900.00,40.00,15.00,20.00,1,636,59,12000.00,Medium,Medium,0,0
a0736b92e52f6cead290e30b578413b6,furniture decor,moveis decoracao,1700.00,100.00,7.00,15.00,2,296,56,10500.00,Medium,Heavy,0,0
f53103a77d9cf245e579ea37e5ec51f0,bed bath table,cama mesa banho,500.00,16.00,10.00,16.00,1,206,52,2560.00,Small,Medium,0,0
1c1890ba1779090cd54008a3c3302921,furniture decor,moveis decoracao,2550.00,29.00,24.00,45.00,4,158,27,31320.00,Large,Heavy,0,0
518ef5de2c2b3a255e326a4594ba15d9,bed bath table,cama mesa banho,800.00,36.00,8.00,16.00,2,329,27,4608.00,Small,Medium,0,0
e3e020af31d4d89d2602272b315c3f6e,health beauty,beleza saude,75.00,21.00,7.00,13.00,3,1987,58,1911.00,Small,Light,0,0
8b41fbc2b984a12030090112324d1bc4,baby,bebes,500.00,20.00,13.00,13.00,1,1627,55,3380.00,Small,Medium,0,0
d03bd02af9fff4b98f1c972315e5e9ef,furniture decor,moveis decoracao,1800.00,40.00,10.00,30.00,1,209,56,12000.00,Medium,Heavy,0,0
